ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta,month,Pred_t3_mm
VE0806,2025-09-11,48.942265,46.584487578026334,5.061292076915715,0.13050577755438553,Normal,9,48.68803024291992
VE0807,2025-09-11,43.155396,45.06015037593985,-4.227138285682251,-0.10505093211946652,Normal,9,41.820167541503906
VE0808,2025-09-11,41.164623,35.65538840186327,15.451338789361994,0.36130849054015635,Normal,9,40.44331741333008
VE0809,2025-09-11,41.503216,37.54323308270677,10.54779352210933,0.24641413015835112,Normal,9,39.804866790771484
VE0810,2025-09-11,43.298363,46.08145368188843,-6.0395033741062045,-0.147503817285909,Normal,9,42.776607513427734
VE0811,2025-09-11,41.008625,33.73551527181066,21.559207559471645,0.4903820378727738,Normal,9,41.21937561035156
VE0812,2025-09-11,43.600945,46.34398496240601,-5.91887047604599,-0.14279669044644563,Normal,9,41.236549377441406
VE0813,2025-09-11,42.512768,45.50375929810947,-6.573064626960812,-0.16161019174857494,Normal,9,41.165809631347656
VE0814,2025-09-11,47.619656,50.37148419717201,-5.463068305213141,-0.14324663774369648,Normal,9,48.769081115722656
VE09,2025-09-11,50.886627,53.89868378459959,-5.58836761092596,-0.15587283871165122,Normal,9,49.58658218383789
VE0901,2025-09-11,49.725975,50.540774861672766,-1.6121633023667188,-0.0347554176492742,Normal,9,48.529327392578125
VE0902,2025-09-11,51.923447,48.6250408789269,6.783348078944229,0.16496612460482235,Normal,9,52.969173431396484
VE0903,2025-09-11,58.57999,59.98781667436872,-2.34685368705436,-0.06569131403928015,Normal,9,51.7501220703125
VE0904,2025-09-11,53.92838,58.36691715125751,-7.604544336164227,-0.17232033323348522,Normal,9,52.80727767944336
VE0905,2025-09-11,49.99843,53.282464070427686,-6.163445672032644,-0.16483831287322032,Normal,9,48.582706451416016
VE0906,2025-09-11,53.767433,54.342212777388724,-1.0577037288477478,-0.024849127529136726,Normal,9,49.756988525390625
VE0907,2025-09-11,52.356617,51.22055124698725,2.217988091169805,0.05319348442310854,Normal,9,49.10350036621094
VE0908,2025-09-11,50.188934,48.9326575860045,2.567358492555465,0.057463850760097294,Normal,9,51.066165924072266
VE0909,2025-09-11,51.621918,51.39576204916588,0.4400278669419278,0.01055083575115156,Normal,9,49.25090026855469
VE10,2025-09-11,64.094475,46.98480671330502,36.415320772896536,0.7984333854696366,Normal,9,54.317684173583984
VE1001,2025-09-11,57.756886,48.04769875949487,20.207391862135577,0.4014119989363344,Normal,9,55.945594787597656
VE1002,2025-09-11,49.330227,35.9146779820435,37.35394459852131,0.7350170187251612,Normal,9,47.859928131103516
VE1003,2025-09-11,67.17786,52.59352215429894,27.73028634253858,0.6335653567476582,Normal,9,74.3189468383789
VE1004,2025-09-11,69.34321,46.7832356825807,48.22234354090983,1.0484084573086272,Lluvia moderada,9,57.24879837036133
VE11,2025-09-11,30.283216,29.19851231037226,3.714929564006756,0.07858493811895673,Normal,9,39.08405685424805
VE1101,2025-09-11,25.973951,17.50726810254549,48.36096178789408,0.7144125716956413,Lluvia moderada,9,33.041717529296875
VE1102,2025-09-11,18.79678,23.257518796992482,-19.17977237107923,-0.32873342577848413,Normal,9,32.14006423950195
VE1103,2025-09-11,40.990513,40.37911274558619,1.5141494221688443,0.03423923187573728,Normal,9,42.206512451171875
VE1104,2025-09-11,39.03968,29.771213843410177,31.132310178203966,0.47619106400542266,Normal,9,39.014835357666016
VE1105,2025-09-11,12.969437,14.428571397872796,-10.112815136917183,-0.10243736562616158,Normal,9,27.603805541992188
VE1106,2025-09-11,17.036161,20.723308328399085,-17.792269686094237,-0.2409443659670926,Normal,9,28.404376983642578
VE1107,2025-09-11,45.043915,55.528821981042846,-18.88191899640955,-0.4622653199855931,Normal,9,46.03839874267578
VE1108,2025-09-11,33.781887,39.90994150477245,-15.354706670257318,-0.3324198131693434,Normal,9,41.568233489990234
VE1109,2025-09-11,12.726277,13.930904857310138,-8.647159091741438,-0.07814174786847318,Normal,9,19.8798828125
VE1110,2025-09-11,22.995821,24.826587823996867,-7.374218470255417,-0.14942722064337158,Normal,9,32.5909423828125
VE1111,2025-09-11,35.482296,25.372891684223834,39.843327404625896,0.6470550353862098,Normal,9,37.43088912963867
VE1112,2025-09-11,14.622065,15.766081779130868,-7.2561921516293975,-0.06979477705722573,Normal,9,21.998855590820312
VE1113,2025-09-11,40.639297,45.38367660780598,-10.45393294918373,-0.24316286600066675,Normal,9,40.82184600830078
VE1114,2025-09-11,16.73833,20.11581037277566,-16.790173843964148,-0.23651996681133347,Normal,9,23.981658935546875
VE1115,2025-09-11,39.099133,27.630915455352095,41.50502034947348,0.7139570798285237,Lluvia moderada,9,37.75593185424805
