ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE1210,2025-09-11,49.05602,49.83865737915039,2025-09-01
VE1211,2025-09-11,45.898773,37.307655334472656,2025-09-01
VE1212,2025-09-11,46.61437,44.636138916015625,2025-09-01
VE1213,2025-09-11,42.225006,36.82423400878906,2025-09-01
VE1214,2025-09-11,48.47946,41.80620574951172,2025-09-01
VE1215,2025-09-11,48.372654,37.14889907836914,2025-09-01
VE13,2025-09-11,32.37958,40.08622741699219,2025-09-01
VE1301,2025-09-11,42.086407,41.85948181152344,2025-09-01
VE1302,2025-09-11,29.604183,35.91126251220703,2025-09-01
VE1303,2025-09-11,25.574623,32.07300567626953,2025-09-01
VE1304,2025-09-11,23.56721,32.798702239990234,2025-09-01
VE1305,2025-09-11,34.736256,40.579219818115234,2025-09-01
VE1306,2025-09-11,37.610252,40.79824447631836,2025-09-01
VE1307,2025-09-11,42.048874,41.84300231933594,2025-09-01
VE1308,2025-09-11,36.431507,43.406944274902344,2025-09-01
VE1309,2025-09-11,26.991337,33.49707794189453,2025-09-01
VE14,2025-09-11,40.841087,47.13661575317383,2025-09-01
VE1401,2025-09-11,51.060787,61.443328857421875,2025-09-01
VE1402,2025-09-11,44.166336,56.9831657409668,2025-09-01
VE1403,2025-09-11,36.13265,44.473018646240234,2025-09-01
VE1404,2025-09-11,53.014748,55.38264465332031,2025-09-01
VE1405,2025-09-11,49.724854,52.85357666015625,2025-09-01
VE1406,2025-09-11,38.852768,45.715511322021484,2025-09-01
VE1407,2025-09-11,45.934376,60.825042724609375,2025-09-01
VE1408,2025-09-11,43.71879,47.41342544555664,2025-09-01
VE1409,2025-09-11,36.961517,39.064537048339844,2025-09-01
VE1410,2025-09-11,37.55178,49.14818572998047,2025-09-01
VE1411,2025-09-11,40.972813,53.09486770629883,2025-09-01
VE1412,2025-09-11,46.678688,51.0621223449707,2025-09-01
VE1413,2025-09-11,35.669514,43.624229431152344,2025-09-01
VE1414,2025-09-11,46.246895,60.85041809082031,2025-09-01
VE1415,2025-09-11,73.94284,69.66009521484375,2025-09-01
VE1416,2025-09-11,35.245293,42.478824615478516,2025-09-01
VE1417,2025-09-11,39.307537,44.23271179199219,2025-09-01
VE1418,2025-09-11,26.999065,39.59251403808594,2025-09-01
VE1419,2025-09-11,52.97662,59.91024398803711,2025-09-01
VE1420,2025-09-11,34.32901,42.65911102294922,2025-09-01
VE1421,2025-09-11,33.094837,41.78993225097656,2025-09-01
VE1422,2025-09-11,41.42086,56.26309585571289,2025-09-01
VE1423,2025-09-11,39.728413,55.5254020690918,2025-09-01
VE15,2025-09-11,44.27472,39.37203598022461,2025-09-01
VE1501,2025-09-11,48.52538,47.22101974487305,2025-09-01
VE1502,2025-09-11,46.906094,39.082237243652344,2025-09-01
VE1503,2025-09-11,35.62267,36.98052215576172,2025-09-01
VE1504,2025-09-11,38.4727,38.366493225097656,2025-09-01
VE1505,2025-09-11,46.11538,39.70012283325195,2025-09-01
VE1506,2025-09-11,41.491177,39.23272705078125,2025-09-01
VE1508,2025-09-11,38.113785,37.59397888183594,2025-09-01
VE1509,2025-09-11,37.025185,37.493404388427734,2025-09-01
VE1510,2025-09-11,41.41651,39.615997314453125,2025-09-01
VE1511,2025-09-11,46.211727,41.51512145996094,2025-09-01
VE1512,2025-09-11,47.31015,40.576263427734375,2025-09-01
VE1513,2025-09-11,35.682087,37.48149108886719,2025-09-01
VE1514,2025-09-11,45.694656,37.890037536621094,2025-09-01
VE1515,2025-09-11,38.45558,37.53467559814453,2025-09-01
VE1516,2025-09-11,41.964092,36.36548614501953,2025-09-01
VE1517,2025-09-11,38.165287,37.45881652832031,2025-09-01
VE1518,2025-09-11,41.65629,38.59080505371094,2025-09-01
VE1519,2025-09-11,37.718594,37.32191467285156,2025-09-01
VE1520,2025-09-11,45.5603,39.9426383972168,2025-09-01
VE1521,2025-09-11,37.901363,37.4981689453125,2025-09-01
